SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,155 N State St #1,Concord,NH,03301,394900,4,2.0,Concord,3372,,1890,34,117,300,Active,,,https://www.redfin.com/NH/Concord/155-N-State-St-03301/unit-1/home/103049768,PrimeMLS,4974868,N,Y,43.2162156,-71.5446778
MLS Listing,,Mobile/Manufactured Home,38 N Emperor Dr,Concord,NH,03303,130000,2,1.0,Concord,924,43560,1979,1,141,,Active,November-26-2023 09:00 AM,November-26-2023 01:00 PM,https://www.redfin.com/NH/Concord/38-N-Emperor-Dr-03303/home/88316280,PrimeMLS,4978499,N,Y,43.256018,-71.5855044
MLS Listing,,Single Family Residential,69 Cheney St,Franklin,NH,03253,700000,5,3.5,Franklin,2827,31798,1882,1,248,,Active,,,https://www.redfin.com/NH/Franklin/69-Cheney-St-03235/home/96605194,PrimeMLS,4978437,N,Y,43.4472093,-71.6534529
MLS Listing,,Vacant Land,0 Bunker Rd,New London,NH,03257,217000,,,New London,,291852,,1,,,Active,,,https://www.redfin.com/NH/New-London/0-Bunker-Rd-03257/home/188657008,PrimeMLS,4978415,N,Y,43.416185,-71.94578
MLS Listing,,Single Family Residential,469 Mountain Rd,Concord,NH,03301,649000,3,1.0,Concord,1200,1853913,1959,1,541,,Active,,,https://www.redfin.com/NH/Concord/469-Mountain-Rd-03301/home/103048780,PrimeMLS,4978414,N,Y,43.285774,-71.56582
MLS Listing,,Single Family Residential,40 Gile Hill Rd,Dunbarton,NH,03046,875000,4,3.5,Dunbarton,2950,243500,2023,1,297,,Active,,,https://www.redfin.com/NH/Bow/40-Gile-Hill-Rd-03046/home/188655677,PrimeMLS,4978401,N,Y,43.1308523,-71.5876997
MLS Listing,,Single Family Residential,24 W High St,Franklin,NH,03235,274900,3,1.0,Franklin,1212,1742,1890,1,227,,Active,,,https://www.redfin.com/NH/Franklin/24-W-High-St-03235/home/96563984,PrimeMLS,4978322,N,Y,43.441854,-71.6464072
MLS Listing,,Single Family Residential,35 Conant Dr,Concord,NH,03301,499900,4,2.0,Concord,2754,12632,1960,1,182,,Active,November-25-2023 10:00 AM,November-25-2023 12:00 PM,https://www.redfin.com/NH/Concord/35-Conant-Dr-03301/home/188647160,PrimeMLS,4978321,N,Y,43.1876855,-71.5471029
MLS Listing,,Single Family Residential,40 Turnberry Ln,Hopkinton,NH,03229,769000,3,2.5,Hopkinton,4177,85377,1999,1,184,,Active,,,https://www.redfin.com/NH/Hopkinton/40-Turnberry-Ln-03229/home/91657288,PrimeMLS,4978319,N,Y,43.173464,-71.742972
MLS Listing,,Single Family Residential,63 Roberts Rd,Hopkinton,NH,03229,669000,3,3.0,Hopkinton,3434,56628,1963,1,195,,Active,,,https://www.redfin.com/NH/Hopkinton/63-Roberts-Rd-03229/home/91657430,PrimeMLS,4978316,N,Y,43.2138641,-71.6867557
MLS Listing,,Single Family Residential,90 Whitney Brook Rd,New London,NH,03233,652000,3,3.0,New London,2075,305791,1985,1,314,,Active,,,https://www.redfin.com/NH/Elkins/90-Whitney-Brook-Rd-03233/home/188646953,PrimeMLS,4978314,N,Y,43.4299551,-71.9313383
MLS Listing,,Condo/Co-op,124 MAMMOTH Rd #206,Hooksett,NH,03106,125000,0,1.0,Hooksett,392,,1973,4,319,302,Active,,,https://www.redfin.com/NH/Hooksett/124-Mammoth-Rd-03106/unit-206/home/103018510,PrimeMLS,4978165,N,Y,43.0361798,-71.4333487
MLS Listing,,Single Family Residential,53 Nelson Hill Rd,Sutton,NH,03221,500000,3,1.5,Sutton,1456,4138200,1979,5,343,,Active,,,https://www.redfin.com/NH/Bradford/53-Nelson-Hill-Rd-N-03221/home/88036323,PrimeMLS,4978140,N,Y,43.326217,-71.959858
MLS Listing,,Single Family Residential,12 Cindy Dr,Hooksett,NH,03106,919000,5,4.0,Hooksett,4287,43995,1987,5,214,,Active,,,https://www.redfin.com/NH/Hooksett/12-Cindy-Dr-03106/home/103018018,PrimeMLS,4978097,N,Y,43.0299021,-71.4057006
