SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,265 Buck St,Bangor,ME,04401,169900,3,1.0,Bangor,988,18295,1951,1,172,,Active,,,https://www.redfin.com/ME/Bangor/265-Buck-St-04401/home/100084009,MREIS,1578034,N,Y,44.7940014,-68.7868193
MLS Listing,,Single Family Residential,88 Skunk Hill Rd,Lee,ME,04455,220000,3,1.0,Lee,1192,72309,1977,1,185,,Active,,,https://www.redfin.com/ME/Lee/88-Skunk-Hl-04455/home/97701974,MREIS,1578027,N,Y,45.3590726,-68.2573312
MLS Listing,,Single Family Residential,60 Bickford Rd,Dixmont,ME,04932,129000,2,,Dixmont,1004,949608,1978,1,128,,Active,,,https://www.redfin.com/ME/Dixmont/60-Bickford-Rd-04932/home/100043272,MREIS,1577801,N,Y,44.6624081,-69.1148514
MLS Listing,,Single Family Residential,234 Baker Rd,Hampden,ME,04444,535000,3,3.0,Hampden,3352,147232,2002,1,160,,Active,,,https://www.redfin.com/ME/Hampden/234-Baker-Rd-04444/home/80160000,MREIS,1577984,N,Y,44.6958882,-68.8668052
MLS Listing,,Single Family Residential,0 Mill Priviledge Rd,Carroll Plt,ME,04487,125000,2,,Carroll Plt,700,1777247,2005,1,179,,Active,,,https://www.redfin.com/ME/Carroll-Plantation/Mill-Privilege-Rd-04487/home/180256833,MREIS,1578002,N,Y,45.3617235,-67.9901144
MLS Listing,,Single Family Residential,1 Prouty Dr,Veazie,ME,04401,282000,3,2.0,Veazie,1705,10018,1964,1,165,,Active,,,https://www.redfin.com/ME/Veazie/1-Prouty-Dr-04401/home/100067831,MREIS,1577995,N,Y,44.8265042,-68.7017647
MLS Listing,,Single Family Residential,3198 Bennoch Rd,Alton,ME,04468,165000,3,1.0,Alton,1100,29620,1958,1,150,,Active,,,https://www.redfin.com/ME/Alton/3198-Bennoch-Rd-04468/home/97670848,MREIS,1577994,N,Y,45.0171197,-68.7236563
MLS Listing,,Vacant Land,16 Perry St,Lincoln,ME,04457,9900,,,Lincoln,,8712,,1,,,Active,,,https://www.redfin.com/ME/Lincoln/16-Perry-St-04457/home/188655788,MREIS,1577971,N,Y,45.361265,-68.5073053
MLS Listing,,Single Family Residential,743 Edinburg Rd,Edinburg,ME,04448,154900,2,1.0,Edinburg,1000,914760,2006,1,155,,Active,,,https://www.redfin.com/ME/Edinburg/743-Edinburg-Rd-04448/home/167109870,MREIS,1577978,N,Y,45.1921604,-68.627855
MLS Listing,,Vacant Land,014 Main St,Lincoln,ME,04457,9900,,,Lincoln,,21780,,1,,,Active,,,https://www.redfin.com/ME/Lincoln/14-Main-St-04457/home/188655032,MREIS,1577966,N,Y,45.3626538,-68.5046519
MLS Listing,,Single Family Residential,71 Town Rd,Medway,ME,04460,195000,2,2.0,Medway,7260,31798,,1,27,,Active,,,https://www.redfin.com/ME/Medway/71-Town-Rd-04460/home/100066151,MREIS,1577960,N,Y,45.6083874,-68.5258381
MLS Listing,,Vacant Land,00 Waters Rd,Patten,ME,04765,75000,,,Patten,,2208492,,1,,,Active,,,https://www.redfin.com/ME/Patten/Waters-Rd-04765/home/188648000,MREIS,1577951,N,Y,46.0013579,-68.5014036
MLS Listing,,Single Family Residential,133 Stillwater Ave,Orono,ME,04473,289000,3,2.0,Orono,1799,161172,1972,1,161,,Active,,,https://www.redfin.com/ME/Orono/133-Stillwater-Ave-04473/home/100027192,MREIS,1577943,N,Y,44.8871182,-68.7062377
MLS Listing,,Single Family Residential,27 Hodgdon Rd,Levant,ME,04456,465000,3,2.0,Levant,1630,2367486,2003,1,285,,Active,,,https://www.redfin.com/ME/Levant/27-Hodgdon-Rd-04456/home/85798137,MREIS,1577945,N,Y,44.8920878,-68.9979049
MLS Listing,,Multi-Family (2-4 Unit),68 5th St,Bangor,ME,04401,269900,4,2.0,Bangor,1984,7405,1900,2,136,,Active,,,https://www.redfin.com/ME/Bangor/68-5th-St-04401/home/100082339,MREIS,1577929,N,Y,44.7990107,-68.7810325
MLS Listing,,Mobile/Manufactured Home,666 Finson Rd #228,Bangor,ME,04401,80000,3,2.0,Bangor,1064,,1995,2,75,450,Active,,,https://www.redfin.com/ME/Bangor/666-Finson-Rd-04401/unit-228/home/100089137,MREIS,1577910,N,Y,44.8415021,-68.8140856
