SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),23 Mill St,Rochester,NH,03867,585000,10,5.0,Rochester,3793,29185,1800,1,154,,Active,,,https://www.redfin.com/NH/Rochester/23-Mill-St-03868/home/108641342,PrimeMLS,4978512,N,Y,43.3354023,-70.9377055
MLS Listing,,Single Family Residential,8 Court St,Rochester,NH,03867,324900,3,1.5,Rochester,1476,7405,1911,1,220,,Active,,,https://www.redfin.com/NH/Rochester/8-Court-St-03867/home/101647841,PrimeMLS,4978506,N,Y,43.3035756,-70.9689598
MLS Listing,,Single Family Residential,54 Main St,Milton,NH,03835,499900,4,1.5,Milton,3550,13068,1880,1,141,,Active,,,https://www.redfin.com/NH/Farmington/54-Main-St-03835/home/88326908,PrimeMLS,4978496,N,Y,43.3924283,-71.065539
MLS Listing,,Single Family Residential,157 Kings Hwy,Middleton,NH,03887,299500,2,2.0,Middleton,1173,9583,2023,1,255,,Active,,,https://www.redfin.com/NH/Middleton/157-Kings-Hwy-03887/home/88276156,PrimeMLS,4978417,N,Y,43.477095,-71.0685564
MLS Listing,,Single Family Residential,204 NE Pond Rd,Milton,NH,03851,299500,3,2.0,Milton,1173,,2023,1,255,,Active,,,https://www.redfin.com/NH/Milton/204-NE-Pond-Rd-03851/home/88327099,PrimeMLS,4978410,N,Y,43.4587014,-70.9716263
MLS Listing,,Vacant Land,266 Berry River Rd Unit map 102 lot 53-0002,Barrington,NH,03825,33000,,,Barrington,,10890,,1,,42,Active,,,https://www.redfin.com/NH/Barrington/266-Berry-River-Rd-03825/unit-map-102-lot-53-0002/home/188654010,PrimeMLS,4978381,N,Y,43.262946,-71.060218
MLS Listing,,Vacant Land,266 Berry River Rd Unit 53-0001,Barrington,NH,03825,33000,,,Barrington,,10890,,1,,42,Active,,,https://www.redfin.com/NH/Barrington/266-Berry-River-Rd-03825/unit-53-0001/home/188647927,PrimeMLS,4978362,N,Y,43.262946,-71.060218
MLS Listing,,Townhouse,14 Bellamy Woods,Dover,NH,03820,350000,2,1.5,Dover,1637,,1986,1,214,400,Active,,,https://www.redfin.com/NH/Dover/14-Bellamy-Woods-03820/home/63615767,PrimeMLS,4978335,N,Y,43.163219,-70.863986
MLS Listing,,Single Family Residential,479 Chestnut Hill Rd,Farmington,NH,03835,550000,2,1.0,Farmington,1056,3920400,1994,1,521,,Active,,,https://www.redfin.com/NH/Farmington/479-Chestnut-Hill-Rd-03835/home/88175902,PrimeMLS,4978318,N,Y,43.383454,-71.0379269
MLS Listing,,Mobile/Manufactured Home,86 Crystal Springs Way,Somersworth,NH,03878,84900,2,1.0,Somersworth,792,,1973,2,107,500,Active,,,https://www.redfin.com/NH/Somersworth/86-Crystal-Springs-Way-03878/home/88002852,PrimeMLS,4978282,N,Y,43.2619619,-70.905893
MLS Listing,,Single Family Residential,90 Littleworth Rd,Dover,NH,03820,399000,2,2.0,Dover,1488,37897,1937,2,268,,Active,,,https://www.redfin.com/NH/Dover/90-Littleworth-Rd-03820/home/63516826,PrimeMLS,4978209,N,Y,43.190253,-70.9236342
MLS Listing,,Single Family Residential,751 Central Ave,Dover,NH,03820,334900,2,1.5,Dover,1483,5227,1720,2,226,,Active,,,https://www.redfin.com/NH/Dover/751-Central-Ave-03820/home/101646547,PrimeMLS,4978240,N,Y,43.2102438,-70.8745203
MLS Listing,,Single Family Residential,8-2 Porch Light Dr Unit 2,Dover,NH,03820,549900,3,2.5,Dover,1725,9583,2023,2,319,75,Active,,,https://www.redfin.com/NH/Dover/8-2-Porch-Light-DR-Unknown/unit-2/home/188596093,PrimeMLS,4978212,N,Y,43.18140017875328,-70.88383829765318
MLS Listing,,Single Family Residential,3 Rochester Ave,Rochester,NH,03867,395000,2,2.0,Rochester,1610,12632,1977,3,245,,Active,,,https://www.redfin.com/NH/Rochester/3-Rochester-Ave-03867/home/108640411,PrimeMLS,4978187,N,Y,43.3213288,-70.9523348
MLS Listing,,Single Family Residential,19 Flagg Rd,Rochester,NH,03839,385000,2,1.0,Rochester,2158,36154,1985,4,178,,Active,,,https://www.redfin.com/NH/Rochester/19-Flagg-Rd-03839/home/88206790,PrimeMLS,4978169,N,Y,43.2559881,-70.9821943
MLS Listing,,Vacant Land,Map 26 28 Moose Mountain Rd Lot 28,Middleton,NH,03887,125000,,,Middleton,,897336,,5,,,Active,,,https://www.redfin.com/NH/Middleton/Map-26-Moose-Mountain-Rd-03887/unit-28/home/187550283,PrimeMLS,4978139,N,Y,43.51751386485435,-71.03617754745484
MLS Listing,,Vacant Land,193 Pheasant Dr,Middleton,NH,03887,79000,,,Middleton,,254390,,5,,,Active,,,https://www.redfin.com/NH/Middleton/193-Pheasant-Dr-03887/home/88276276,PrimeMLS,4978125,N,Y,43.474812,-71.093369
MLS Listing,,Townhouse,8 Magnolia Dr #8,Dover,NH,03820,389900,2,1.5,Dover,1520,,2003,5,257,150,Active,,,https://www.redfin.com/NH/Dover/8-Magnolia-Dr-03820/unit-8/home/112872272,PrimeMLS,4978103,N,Y,43.2010776,-70.8632544
MLS Listing,,Mobile/Manufactured Home,17 Ashleigh Way,Rochester,NH,03867,319900,2,2.0,Rochester,1458,,2019,5,219,505,Active,,,https://www.redfin.com/NH/Rochester/17-Ashleigh-Way-03867/home/170220148,MLS PIN,73181401,N,Y,43.261278,-70.926334
MLS Listing,,Single Family Residential,20 Anctil Ct,Rochester,NH,03839,350000,3,1.5,Rochester,1900,11325,1957,5,184,,Active,,,https://www.redfin.com/NH/Rochester/20-Anctil-Ct-03839/home/96568469,PrimeMLS,4978044,N,Y,43.2808135,-70.9804762
MLS Listing,,Vacant Land,0 NH Route 11,Farmington,NH,03835,275000,,,Farmington,,387684,,5,,,Active,,,https://www.redfin.com/NH/Farmington/0-Nh-Route-11-03835/home/182527472,PrimeMLS,4978036,N,Y,43.39465253194944,-71.09679894973756
MLS Listing,,Single Family Residential,41 Wildcat Drive (Lot 6),Dover,NH,03820,879000,3,2.5,Dover,2218,25264,2023,6,396,108,Active,,,https://www.redfin.com/NH/Dover/41-Wildcat-Dr-03820/home/184765765,MREIS,1577599,N,Y,43.230753,-70.9301459
MLS Listing,,Single Family Residential,8-1 Porch Light Dr Unit 1,Dover,NH,03820,539900,3,2.5,Dover,1650,9583,2023,6,327,75,Active,,,https://www.redfin.com/NH/Dover/8-1-Porch-Light-DR-Unknown/unit-1/home/188578140,PrimeMLS,4977932,N,Y,43.18140800212146,-70.883806111145
MLS Listing,,Single Family Residential,112 Milton Rd,Farmington,NH,03835,225000,1,1.0,Farmington,938,226512,1965,7,240,,Active,,,https://www.redfin.com/NH/Farmington/112-Milton-Rd-03835/home/88178206,PrimeMLS,4977909,N,Y,43.408584,-71.05951
MLS Listing,,Single Family Residential,14 Rowland St,Somersworth,NH,03878,300000,3,1.0,Somersworth,1224,7840,1950,7,245,,Active,,,https://www.redfin.com/NH/Somersworth/14-Rowland-St-03878/home/88004058,PrimeMLS,4977876,N,Y,43.2462576,-70.8721263
MLS Listing,,Single Family Residential,41 Wildcat Dr Lot 6,Dover,NH,03820,879000,3,2.5,Dover,2218,25264,2023,7,396,108,Active,,,https://www.redfin.com/NH/Dover/41-Wildcat-Dr-03820/unit-6/home/184927803,PrimeMLS,4977868,N,Y,43.230495,-70.9313233
MLS Listing,,Single Family Residential,78 Watson Rd,Dover,NH,03820,659000,3,2.0,Dover,1640,396396,2005,7,402,,Active,,,https://www.redfin.com/NH/Dover/78-Watson-Rd-03820/home/103021524,PrimeMLS,4977867,N,Y,43.2089779,-70.9245818
MLS Listing,,Single Family Residential,274 High St,Somersworth,NH,03878,320000,3,1.0,Somersworth,1194,17859,1940,7,268,,Active,,,https://www.redfin.com/NH/Somersworth/274-High-St-03878/home/88005673,PrimeMLS,4977849,N,Y,43.2522428,-70.8706865
MLS Listing,,Vacant Land,0 Scruton Pond Rd Unit 9/1,Barrington,NH,03825,199900,,,Barrington,,114562,,7,,,Active,,,https://www.redfin.com/NH/Barrington/0-Scruton-Pond-Rd-03825/unit-9-1/home/188578442,PrimeMLS,4977812,N,Y,43.2341574,-70.9942765
MLS Listing,,Mobile/Manufactured Home,11 Ringer Dr,Somersworth,NH,03878,59900,2,1.0,Somersworth,912,,1970,7,66,280,Active,,,https://www.redfin.com/NH/Somersworth/11-Ringer-Dr-03878/home/88005552,PrimeMLS,4977803,N,Y,43.2668002,-70.9066332
MLS Listing,,Single Family Residential,30 Franconia Dr,New Durham,NH,03855,299000,2,2.0,New Durham,1152,17424,2019,8,260,,Active,,,https://www.redfin.com/NH/New-Durham/30-Franconia-Dr-03855/home/103716397,PrimeMLS,4977777,N,Y,43.5361418,-71.127788
MLS Listing,,Single Family Residential,14 State St,Rochester,NH,03867,469000,3,2.0,Rochester,1384,7405,2023,8,339,,Active,,,https://www.redfin.com/NH/Rochester/14-State-St-03867/home/188570231,PrimeMLS,4977738,N,Y,43.288422,-70.9801781
MLS Listing,,Condo/Co-op,27 Tampa Dr #1,Rochester,NH,03867,269900,2,1.0,Rochester,1058,,2023,9,255,300,Active,,,https://www.redfin.com/NH/Rochester/27-Tampa-Dr-03867/unit-1/home/188560802,PrimeMLS,4977684,N,Y,43.3157449,-70.9992516
