SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,171 Jolbert St,Berlin,NH,03570,149000,2,1.5,Berlin,1059,3920,1890,1,141,,Active,,,https://www.redfin.com/NH/Berlin/171-Jolbert-St-03570/home/88217915,PrimeMLS,4978420,N,Y,44.470326,-71.1897188
MLS Listing,,Single Family Residential,7 Palmer St,Gorham,NH,03581,150000,2,2.0,Gorham,997,2613,1890,1,150,,Active,December-2-2023 01:00 PM,December-2-2023 03:00 PM,https://www.redfin.com/NH/Gorham/7-Palmer-St-03581/home/103968277,PrimeMLS,4978388,N,Y,44.389656,-71.1727045
MLS Listing,,Single Family Residential,7 Lancaster Rd,Gorham,NH,03581,325000,3,2.0,Gorham,1609,23086,1900,1,202,,Active,December-2-2023 10:00 AM,December-2-2023 12:00 PM,https://www.redfin.com/NH/Gorham/7-Lancaster-Rd-03581/home/87575460,PrimeMLS,4978386,N,Y,44.3976923,-71.1958631
MLS Listing,,Single Family Residential,221 Stratford Rd,Northumberland,NH,03582,199900,3,1.5,Northumberland,1068,87120,1900,2,187,,Active,,,https://www.redfin.com/NH/Northumberland/221-Stratford-Rd-03582/home/88208604,PrimeMLS,4978299,N,Y,44.6172675,-71.5389726
MLS Listing,,Single Family Residential,27 Bridge St,Stewartstown,NH,03597,89900,3,1.5,Stewartstown,1450,77536,1920,2,62,,Active,,,https://www.redfin.com/NH/Stewartstown/27-Bridge-St-03576/home/188630281,PrimeMLS,4978230,N,Y,45.006946,-71.508525
MLS Listing,,Single Family Residential,63 Hall Rd,Errol,NH,03579,739000,5,4.5,Errol,3165,2918520,1975,5,233,,Active,,,https://www.redfin.com/NH/Errol/63-Hall-Rd-03579/home/103057731,PrimeMLS,4978114,N,Y,44.786552,-71.151171
MLS Listing,,Single Family Residential,571 Cheshire St,Berlin,NH,03570,164000,2,1.0,Berlin,1428,4791,1937,5,115,,Active,,,https://www.redfin.com/NH/Berlin/571-Cheshire-St-03570/home/88220592,PrimeMLS,4978093,N,Y,44.4668858,-71.1701835
MLS Listing,,Vacant Land,TBD US Route 3,Columbia,NH,03590,35000,,,Columbia,,130680,,7,,,Active,,,https://www.redfin.com/NH/North-Stratford/Unknown-03590/home/188578260,PrimeMLS,4977807,N,Y,44.783720405245205,-71.579920098114
MLS Listing,,Single Family Residential,55 Paris Rd,Stark,NH,03582-6657,479900,4,2.0,Stark,3797,1132560,1860,7,126,,Active,,,https://www.redfin.com/NH/Stark/55-Paris-Rd-03582/home/88277141,PrimeMLS,4977806,N,Y,44.6137721,-71.3363513
MLS Listing,,Single Family Residential,58 Bishop Brook Rd,Stewartstown,NH,03597,128500,3,1.5,Stewartstown,1088,87120,1974,7,118,,Active,,,https://www.redfin.com/NH/Stewartstown/58-Bishop-Brook-Rd-03576/home/96499032,PrimeMLS,4977801,N,Y,44.996018,-71.483633
MLS Listing,,Single Family Residential,24 Tetu Rd,Northumberland,NH,03582,329900,5,2.0,Northumberland,2428,60983,1973,7,136,,Active,,,https://www.redfin.com/NH/Northumberland/24-Tetu-Rd-03582/home/96667169,PrimeMLS,4977783,N,Y,44.611006,-71.5323001
MLS Listing,,Single Family Residential,255 US Route 3,Columbia,NH,03590,550000,5,2.0,Columbia,2384,193842,1965,8,231,,Active,,,https://www.redfin.com/NH/North-Stratford/255-US-Route-3-03590/home/88215404,PrimeMLS,4977743,N,Y,44.7843023,-71.5817384
MLS Listing,,Single Family Residential,89 Mountain View Ln,Carroll,NH,03598,750000,3,2.0,Carroll,2292,104544,2006,8,327,,Active,,,https://www.redfin.com/NH/Carroll/89-Mountain-View-LN-03598/home/188573038,PrimeMLS,4977719,N,Y,44.27106158755814,-71.54681812664795
MLS Listing,,Single Family Residential,442 Norway St,Berlin,NH,03570,218499,3,2.0,Berlin,2040,5662,1954,9,107,,Active,,,https://www.redfin.com/NH/Berlin/442-Norway-St-03570/home/88218920,PrimeMLS,4977672,N,Y,44.4893215,-71.1655832
MLS Listing,,Single Family Residential,372 Paris Rd,Stark,NH,03582,389900,1,2.0,Stark,1584,967032,2007,9,246,,Active,,,https://www.redfin.com/NH/Stark/372-Paris-Rd-03582/home/88276851,PrimeMLS,4977661,N,Y,44.6261725,-71.3297625
MLS Listing,,Single Family Residential,239 Cumberland St,Northumberland,NH,03582,479000,3,3.0,Northumberland,3367,1306800,1967,10,142,,Active,,,https://www.redfin.com/NH/Northumberland/239-Cumberland-St-03582/home/188550040,PrimeMLS,4977575,N,Y,44.613099,-71.5059673
MLS Listing,,Multi-Family (5+ Unit),16 River Dr,Bloomfield,VT,05905,212500,6,2.0,Bloomfield,3096,87120,1950,11,69,,Active,,,https://www.redfin.com/VT/Bloomfield/16-River-Dr-05905/home/91404770,PrimeMLS,4977543,N,Y,44.7525604,-71.6322699
MLS Listing,,Single Family Residential,767 Second Ave,Berlin,NH,03570,270000,4,2.5,Berlin,2256,5662,1920,11,120,,Active,November-25-2023 10:00 AM,November-25-2023 12:00 PM,https://www.redfin.com/NH/Berlin/767-2nd-Ave-03570/home/88218352,PrimeMLS,4977522,N,Y,44.471102,-71.1872737
MLS Listing,,Single Family Residential,130 North Rd,Shelburne,NH,03581,519000,4,3.0,Shelburne,2028,36154,1925,12,256,,Active,,,https://www.redfin.com/NH/Shelburne/130-North-Rd-03581/home/88296924,PrimeMLS,4977473,N,Y,44.4076928,-71.115768
MLS Listing,,Multi-Family (5+ Unit),81-83 Granite St,Berlin,NH,03570,285000,,6.0,Berlin,4410,6098,1890,12,65,,Active,,,https://www.redfin.com/NH/Berlin/81-Granite-St-03570/home/88220451,PrimeMLS,4977448,N,Y,44.4720511,-71.1832197
MLS Listing,,Vacant Land,U9-8 Merit Dr,Errol,NH,03579,75000,,,Errol,,90169,,13,,,Active,,,https://www.redfin.com/NH/Errol/8-Merit-Dr-03579/home/173306757,PrimeMLS,4977337,N,Y,44.7971902,-71.1658642
MLS Listing,,Single Family Residential,819 Fish Pond Rd,Columbia,NH,03576,450000,3,1.0,Columbia,1288,158122,1973,13,349,,Active,,,https://www.redfin.com/NH/Colebrook/819-Fish-Pond-Rd-03576/home/108643811,PrimeMLS,4977329,N,Y,44.854579,-71.452926
MLS Listing,,Single Family Residential,3 Morel Rd,Lancaster,NH,03584,779000,3,2.5,Lancaster,2514,3984868,1985,13,310,,Active,,,https://www.redfin.com/NH/Lancaster/3-Morel-Ln-03584/home/88102159,PrimeMLS,4977295,N,Y,44.49001,-71.53998
MLS Listing,,Vacant Land,330 Us Route 302 E,Carroll,NH,03598,977500,,,Carroll,,116740,,13,,,Active,,,https://www.redfin.com/NH/Carroll/330-Us-Route-302-E-03598/home/181725902,PrimeMLS,4977278,N,Y,44.26782271262659,-71.52714907608032
MLS Listing,,Single Family Residential,395 Route 102,Maidstone,VT,05905,630000,6,3.0,Maidstone,2520,8537760,1904,14,250,,Active,,,https://www.redfin.com/VT/Maidstone/395-Vermont-102-05905/home/188501157,PrimeMLS,4977186,N,Y,44.5758283,-71.5545105
MLS Listing,,Mobile/Manufactured Home,107 Dean Brook Dr Lot 005-MH-22,Northumberland,NH,03582,45000,3,1.0,Northumberland,924,,1980,14,49,260,Active,,,https://www.redfin.com/NH/Northumberland/107-Dean-Brook-Dr-03582/unit-005-MH-22/home/188501147,PrimeMLS,4977184,N,Y,44.5641123,-71.5440265
MLS Listing,,Single Family Residential,24 Pine St,Gorham,NH,03581,149000,2,1.0,Gorham,966,6098,1900,14,154,,Active,,,https://www.redfin.com/NH/Gorham/24-Pine-St-03581/home/96538151,PrimeMLS,4977176,N,Y,44.399782,-71.194153
MLS Listing,,Single Family Residential,364 1st Ave,Berlin,NH,03570,225000,3,1.5,Berlin,1044,7840,1924,15,216,,Active,,,https://www.redfin.com/NH/Berlin/364-1st-Ave-03570/home/88218266,PrimeMLS,4977053,N,Y,44.4630137,-71.1890062
MLS Listing,,Vacant Land,TBD Bungy Rd,Columbia,NH,03576,400000,,,Columbia,,5009400,,15,,,Active,,,https://www.redfin.com/NH/Columbia/Bungy-Rd-03576/home/88215560,PrimeMLS,4976977,N,Y,44.826162,-71.402048
MLS Listing,,Single Family Residential,60 Warwick Way,Pittsburg,NH,03592,489000,2,2.0,Pittsburg,1700,273121,2023,16,288,,Active,,,https://www.redfin.com/NH/Pittsburg/60-Warwick-WAY-Unknown/home/188469093,PrimeMLS,4976935,N,Y,45.093603574029274,-71.34364921957398
MLS Listing,,Single Family Residential,120 Reed Rd,Lancaster,NH,03584,585000,3,3.0,Lancaster,2142,523155,1850,19,273,,Active,,,https://www.redfin.com/NH/Lancaster/120-Reed-Rd-03584/home/63512486,PrimeMLS,4976700,N,Y,44.4613631,-71.5692768
MLS Listing,,Single Family Residential,150 Lakeview Dr,Errol,NH,03579,685000,4,3.0,Errol,2336,217800,2005,19,293,,Active,,,https://www.redfin.com/NH/Errol/150-Lakeview-Dr-03579/home/103058086,PrimeMLS,4976654,N,Y,44.733514,-71.0957455
MLS Listing,,Vacant Land,1 & 2 Gulch Brook Rd Lot 1,Stewartstown,NH,03576,274900,,,Stewartstown,,491356,,19,,,Active,,,https://www.redfin.com/NH/Stewartstown/1-2-Gulch-Brook-RD-03576/unit-1/home/188369656,PrimeMLS,4976629,N,Y,44.97588918394639,-71.45014956320192
MLS Listing,,Single Family Residential,43 Cumberland St,Northumberland,NH,03582,50000,3,1.0,Northumberland,600,8276,1939,19,83,,Active,,,https://www.redfin.com/NH/Northumberland/43-Cumberland-St-03582/home/88208236,PrimeMLS,4975028,N,Y,44.6013599,-71.5079147
MLS Listing,,Vacant Land,*** Jackson Rd,Columbia,NH,03576,49000,,,Columbia,,217800,,20,,,Active,,,https://www.redfin.com/NH/Columbia/Jackson-Rd-03576/home/88215947,PrimeMLS,4976545,N,Y,44.861536,-71.466263
MLS Listing,,Vacant Land,00 Route 115,Carroll,NH,03598,155000,,,Carroll,,370260,,21,,,Active,,,https://www.redfin.com/NH/Dalton/Unknown-03598/home/188227954,PrimeMLS,4976335,N,Y,44.31970789068651,-71.52662549472045
MLS Listing,,Vacant Land,0 Route 115,Carroll,NH,03598,140000,,,Carroll,,400751,,21,,,Active,,,https://www.redfin.com/NH/Dalton/Unknown-03598/home/188227672,PrimeMLS,4976327,N,Y,44.31874071022498,-71.52621779895019
MLS Listing,,Vacant Land,Diamond Pond Rd,Colebrook,NH,03576,125000,,,Colebrook,,532738,,22,,,Active,,,https://www.redfin.com/NH/Colebrook/Diamond-Pond-Rd-03576/home/88149249,PrimeMLS,4976254,N,Y,44.903891,-71.340899
MLS Listing,,Single Family Residential,795 Diamond Pond Rd,Stewartstown,NH,03576,149900,1,0.5,Stewartstown,473,357191,1980,22,317,,Active,,,https://www.redfin.com/NH/Stewartstown/795-Diamond-Pond-Rd-03576/home/88147294,PrimeMLS,4976252,N,Y,44.920528,-71.342578
MLS Listing,,Single Family Residential,40 Beech St,Lunenburg,VT,05906,109000,4,1.5,Lunenburg,1452,14374,1920,22,75,,Active,,,https://www.redfin.com/VT/Lunenburg/40-Beech-St-05904/home/188217092,PrimeMLS,4976180,N,Y,44.4124182,-71.7197395
MLS Listing,,Townhouse,10 Mount Madison Ln #8,Carroll,NH,03575,1950000,5,4.5,Carroll,4097,,2005,23,476,1210,Active,,,https://www.redfin.com/NH/Carroll/10-Mount-Madison-Ln-03598/unit-8/home/108633008,PrimeMLS,4976060,N,Y,44.262658,-71.442428
MLS Listing,,Single Family Residential,25 Middle St,Dummer,NH,03588,120000,2,1.0,Dummer,1232,52272,1962,24,97,,Active,,,https://www.redfin.com/NH/Dummer/25-Middle-St-03588/home/88169853,PrimeMLS,4976005,N,Y,44.668662,-71.203804
MLS Listing,,Single Family Residential,29 Jims Rd,Pittsburg,NH,03592,359000,2,1.0,Pittsburg,656,174240,1988,25,547,,Active,,,https://www.redfin.com/NH/Pittsburg/29-Jims-Rd-03592/home/88196059,PrimeMLS,4975969,N,Y,45.0912909,-71.354467
MLS Listing,,Single Family Residential,19 Gray Rd,Pittsburg,NH,03592,395000,2,1.0,Pittsburg,892,85377,1938,25,443,,Active,,,https://www.redfin.com/NH/Pittsburg/19-Gray-Rd-03592/home/88196141,PrimeMLS,4975962,N,Y,45.0529463,-71.351784
MLS Listing,,Vacant Land,Momenee Ln,Pittsburg,NH,03592,94900,,,Pittsburg,,274428,,26,,,Active,,,https://www.redfin.com/NH/Pittsburg/Momenee-Ln-03592/home/88195115,PrimeMLS,4975831,N,Y,45.068844,-71.349138
MLS Listing,,Single Family Residential,746 Kent St,Berlin,NH,03570,214500,3,1.0,Berlin,1650,10890,1900,27,130,,Active,,,https://www.redfin.com/NH/Berlin/746-Kent-St-03570/home/88220417,PrimeMLS,4975649,N,Y,44.4690524,-71.1610371
MLS Listing,,Single Family Residential,1265 New Hampshire Route 16,Dummer,NH,03588,359000,3,2.0,Dummer,1980,240451,2006,28,181,,Active,,,https://www.redfin.com/NH/Dummer/1265-NH-Route-16-03588/home/88169842,PrimeMLS,4975537,N,Y,44.666452,-71.213547
MLS Listing,,Vacant Land,.39 Walker Pit Rd,Concord,VT,05824,69000,,,Concord,,16988,,28,,,Active,,,https://www.redfin.com/VT/Concord/Walker-Pit-Rd-05906/home/91429855,PrimeMLS,4975438,N,Y,44.404245624318534,-71.74901888972772
MLS Listing,,Single Family Residential,131 W Milan Rd,Milan,NH,03588,299900,4,2.0,Milan,2638,243935,1980,29,114,,Active,,,https://www.redfin.com/NH/Milan/131-W-Milan-Rd-03588/home/88075342,PrimeMLS,4975397,N,Y,44.532653,-71.263656
MLS Listing,,Single Family Residential,15 Petrograd St,Berlin,NH,03570,152500,3,1.0,Berlin,1523,14374,1951,29,100,,Active,,,https://www.redfin.com/NH/Berlin/15-Petrograd-St-03570/home/88218674,PrimeMLS,4975320,N,Y,44.4677055,-71.1913977
MLS Listing,,Single Family Residential,564 Lincoln Ave,Berlin,NH,03570,194900,3,1.0,Berlin,1018,4791,1900,29,191,,Active,,,https://www.redfin.com/NH/Berlin/564-Lincoln-Ave-03570/home/88218174,PrimeMLS,4975312,N,Y,44.480376,-71.177579
MLS Listing,,Single Family Residential,8 Park St,Northumberland,NH,03582,149900,3,1.0,Northumberland,2771,7405,1900,32,54,,Active,,,https://www.redfin.com/NH/Northumberland/8-Park-St-03582/home/88208294,PrimeMLS,4975101,N,Y,44.5987922,-71.5179539
MLS Listing,,Single Family Residential,36 Springer Farm Trl,Colebrook,NH,03576,1200000,4,2.0,Colebrook,2406,2305630,1996,33,499,,Active,,,https://www.redfin.com/NH/Colebrook/36-Springer-Farm-Trl-03576/home/88149202,PrimeMLS,4974991,N,Y,44.907761,-71.427548
MLS Listing,,Single Family Residential,103 Colby St,Colebrook,NH,03576,175900,3,2.0,Colebrook,1219,10454,1904,33,144,,Active,,,https://www.redfin.com/NH/Colebrook/103-Colby-St-03576/home/88148912,PrimeMLS,4974967,N,Y,44.8901659,-71.5042901
MLS Listing,,Single Family Residential,70 Burns Rd,Pittsburg,NH,03592,450000,4,1.5,Pittsburg,1649,111077,1982,33,273,,Active,,,https://www.redfin.com/NH/Pittsburg/70-Burns-Rd-03592/home/88194057,PrimeMLS,4974899,N,Y,45.0536203,-71.3390952
MLS Listing,,Vacant Land,Old Route 3 Ofc Old,Columbia,NH,03576,49900,,,Columbia,,39639,,34,,,Active,,,https://www.redfin.com/NH/Township-of-Dixville/Unknown-03576/unit-Old/home/188112488,PrimeMLS,4974752,N,Y,44.7778478779253,-71.58362330314637
MLS Listing,,Multi-Family (5+ Unit),1256 Stark Hwy,Stark,NH,03582,619987,7,7.0,Stark,5158,744004,1890,34,120,,Active,,,https://www.redfin.com/NH/Stark/1256-Stark-Hwy-03582/home/88277086,PrimeMLS,4974719,N,Y,44.597123,-71.4114986
MLS Listing,,Multi-Family (5+ Unit),115/117 Main St,Colebrook,NH,03576,1200000,7,6.0,Colebrook,7102,60983,1890,35,169,,Active,,,https://www.redfin.com/NH/Colebrook/115-Main-St-03576/home/182549887,PrimeMLS,4974590,N,Y,44.9158912,-71.4936501
MLS Listing,,Single Family Residential,338 River Rd,Pittsburg,NH,03592,365000,3,2.0,Pittsburg,1856,100187,2008,36,197,,Active,,,https://www.redfin.com/NH/Pittsburg/338-River-Rd-03592/home/88193994,PrimeMLS,4974471,N,Y,45.066526,-71.306057
MLS Listing,,Townhouse,55 Forest Ln #41,Carroll,NH,03575,1214900,5,4.5,Carroll,2948,,1988,36,412,540,Active,,,https://www.redfin.com/NH/Carroll/55-Forest-Ln-03598/unit-41/home/88166478,PrimeMLS,4974405,N,Y,44.25692389444258,-71.45741766137695
MLS Listing,,Single Family Residential,12 Summer St,Northumberland,NH,03582,129500,2,1.0,Northumberland,1244,5662,1900,38,104,,Active,,,https://www.redfin.com/NH/Northumberland/12-Summer-St-03582/home/108642228,PrimeMLS,4974265,N,Y,44.5979491,-71.5146955
MLS Listing,,Vacant Land,00 N Main St,Pittsburg,NH,03592,69000,,,Pittsburg,,47916,,39,,,Active,,,https://www.redfin.com/NH/Pittsburg/N-Main-St-03592/home/88194147,PrimeMLS,4974221,N,Y,45.050595,-71.361431
MLS Listing,,Single Family Residential,11 Dalton Rd,Pittsburg,NH,03592,250000,4,2.0,Pittsburg,1764,16552,1915,39,142,,Active,,,https://www.redfin.com/NH/Pittsburg/11-Dalton-Rd-03592/home/63525752,PrimeMLS,4974175,N,Y,45.0535133,-71.3955207
MLS Listing,,Single Family Residential,636 Second Ave,Berlin,NH,03570,128500,2,2.0,Berlin,1034,5227,1906,40,124,,Active,,,https://www.redfin.com/NH/Berlin/636-2nd-Ave-03570/home/84885201,PrimeMLS,4974159,N,Y,44.4685496,-71.1880947
MLS Listing,,Single Family Residential,1099 Bungy Rd,Columbia,NH,03576,499000,3,1.0,Columbia,1682,305791,1998,40,297,,Active,,,https://www.redfin.com/NH/Colebrook/1099-Bungy-Rd-03576/home/88215731,PrimeMLS,4974100,N,Y,44.822575,-71.4196718
MLS Listing,,Single Family Residential,85 Hinchey St,Berlin,NH,03570,349900,3,1.5,Berlin,1720,9583,1920,40,203,,Active,,,https://www.redfin.com/NH/Berlin/85-Hinchey-St-03570/home/88218746,PrimeMLS,4974046,N,Y,44.4735738,-71.1893157
MLS Listing,,Single Family Residential,15 Twitchell Ln,Berlin,NH,03570,249000,0,1.5,Berlin,4444,66646,1984,41,56,,Active,,,https://www.redfin.com/NH/Berlin/15-Twitchell-Ln-03570/home/88219702,PrimeMLS,4973835,N,Y,44.5044877,-71.1621358
MLS Listing,,Single Family Residential,259 Willard St,Berlin,NH,03570,229000,4,2.5,Berlin,1852,4791,1900,42,124,,Active,,,https://www.redfin.com/NH/Berlin/259-Willard-St-03570/home/58897576,PrimeMLS,4973742,N,Y,44.475114,-71.1832616
MLS Listing,,Single Family Residential,174 Sky View Rd,Stratford,NH,03590,400000,3,2.5,Stratford,3089,129373,2004,42,129,21,Active,,,https://www.redfin.com/NH/Stratford/174-Ski-View-Rd-03590/home/87989414,PrimeMLS,4973733,N,Y,44.703983,-71.516777
MLS Listing,,Single Family Residential,26 Russell Rd,Colebrook,NH,03576,599000,5,2.0,Colebrook,2103,668646,1989,42,285,,Active,,,https://www.redfin.com/NH/Colebrook/26-Russell-Rd-03576/home/88149100,PrimeMLS,4973723,N,Y,44.8699421,-71.3817671
MLS Listing,,Multi-Family (2-4 Unit),806-808 Second Ave,Berlin,NH,03570,120000,,,Berlin,1960,5662,1910,42,61,,Active,,,https://www.redfin.com/NH/Berlin/806-2nd-Ave-03570/home/60372476,PrimeMLS,4973651,N,Y,44.47173,-71.186444
